N,avg_clustering_mean,avg_clustering_std,diameter_mean,diameter_std,radius_mean,radius_std,avg_degree_mean,avg_degree_std
50,0.03973434343434344,0.028462513447383417,9.133333333333333,1.676065452868369,5.066666666666666,0.8276819867946674,2.497333333333333,0.35181238469245013
100,0.050255968105968093,0.016894015422322203,5.966666666666667,0.5560534167675356,3.9,0.30512857662936466,5.0586666666666655,0.29360697789947765
200,0.050999400045595326,0.004575705891215303,4.066666666666666,0.2537081317024624,3.0,0.0,9.969333333333335,0.3046754444269864
500,0.05011279491049654,0.0010801936740122964,3.0,0.0,3.0,0.0,25.005200000000002,0.3505285073753041
1000,0.04986972937657162,0.0003985964348370708,3.0,0.0,3.0,0.0,49.90853333333334,0.30401085885022244
