N,avg_clustering_mean,avg_clustering_std,diameter_mean,diameter_std,radius_mean,radius_std,avg_degree_mean,avg_degree_std
50,0.19002687642022006,0.07534664204565092,4.933333333333334,0.2537081317024624,3.0,0.0,3.8400000000000007,9.033620566533923e-16
100,0.13460529314728367,0.03228875687500196,5.566666666666666,0.5040069329937308,3.2666666666666666,0.44977644510880355,3.9200000000000004,4.516810283266961e-16
200,0.08313848340970044,0.020493689846437,6.066666666666666,0.2537081317024624,3.8333333333333335,0.3790490217894517,3.9599999999999986,1.3550430849800884e-15
500,0.040933412465533725,0.008462165646827903,7.0,0.2626128657194451,4.0,0.0,3.983999999999999,9.033620566533923e-16
1000,0.025714743610798445,0.004906014504050461,7.333333333333333,0.47946330148538413,4.333333333333333,0.47946330148538413,3.9920000000000004,4.516810283266961e-16
